epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.698328514662824,0.6227390180878553,0.49680401036839283,0.7065868263473054
2,0.5003720122252324,0.7467700258397932,0.7310939244702904,0.7065868263473054
3,0.46322317232765275,0.7829457364341085,0.6282952557468485,0.6766467065868264
4,0.41535179780011644,0.8656330749354005,0.4880039637495658,0.7844311377245509
5,0.26849478586199055,0.8914728682170543,0.4345464556070859,0.8383233532934131
6,0.2169805686073787,0.9147286821705426,0.5292760233233075,0.8083832335329342
7,0.2086783257151836,0.9198966408268734,0.5082787013986332,0.7964071856287425
8,0.2193412412083118,0.9276485788113695,0.5132500894456923,0.7844311377245509
9,0.23536451120959542,0.9198966408268734,0.5507357841480278,0.7784431137724551
10,0.1316067779759181,0.9509043927648578,0.5781138526041529,0.8203592814371258
11,0.2137043495934447,0.9147286821705426,1.424551154280494,0.6107784431137725
